"","from","to"
"1",42,2497
"2",42,3252
"3",42,7575
"4",42,10026
"5",42,13237
"6",42,37100
"7",174,1680
"8",174,3252
"9",174,5078
"10",174,5713
"11",174,9145
"12",174,10026
"13",174,12129
"14",174,12470
"15",174,12956
"16",174,15133
"17",174,16082
"18",174,17072
"19",174,25512
"20",174,28007
"21",174,34309
"22",174,37100
"23",174,39318
"24",174,46571
"25",174,47541
"26",174,53684
"27",174,54412
"28",174,59908
"29",174,196724
"30",174,199330
"31",209,2497
"32",209,5078
"33",209,10026
"34",209,12129
"35",209,12956
"36",251,2497
"37",251,3252
"38",251,9145
"39",251,9505
"40",251,13237
"41",251,13285
"42",251,15133
"43",251,37100
"44",286,702
"45",286,1680
"46",286,2497
"47",286,3252
"48",286,5713
"49",286,6775
"50",286,9145
"51",286,10026
"52",286,12470
"53",286,12956
"54",286,13237
"55",286,13285
"56",286,15133
"57",286,22773
"58",286,25291
"59",286,34309
"60",286,37100
"61",286,47447
"62",286,47541
"63",286,60280
