"","name1","name2"
"1","Janusz Kacprzyk","Slawomir Zadrozny"
"2","Slawomir Zadrozny","Janusz Kacprzyk"
"3","Didier Dubois","Henri Prade"
"4","Chenglin Fan","Jun Luo"
"5","Chenglin Fan","Binhai Zhu"
"6","Jun Luo","Binhai Zhu"
"7","Shlomo Berkovsky","Jill Freyne"
"8","Judy Kay","Bob Kummerfeld"
"9","Jill Freyne","Shlomo Berkovsky"
"10","Fabian Abel","Vania Dimitrova"
"11","Fabian Abel","Eelco Herder"
"12","Vania Dimitrova","Eelco Herder"
"13","Alessandro Garcia","Eduardo Figueiredo"
"14","Yann-Gaël Guéhéneuc","Giuliano Antoniol"
"15","Shinpei Hayashi","Motoshi Saeki"
"16","Werner Retschitzegger","Wieland Schwinger"
"17","Alexander V. Smirnov","Nikolay Shilov"
"18","Alexander V. Smirnov","Alexey Kashevnik"
"19","Nikolay Shilov","Alexey Kashevnik"
"20","Eduardo Figueiredo","Alessandro Garcia"
"21","Robert Winter","Felix Wortmann"
"22","William N. Robinson","Arash Akhlaghi"
"23","David E. Newman","Benjamin A. Carreras"
"24","David E. Newman","Ian Dobson"
"25","Benjamin A. Carreras","Ian Dobson"
"26","Dominik Ertl","Jürgen Falb"
"27","Sven Overhage","Sebastian Schlauderer"
"28","Jan Marco Leimeister","Helmut Krcmar"
"29","Aaron Read","Robert O. Briggs"
"30","Gwendolyn L. Kolfschoten","Stephan Lukosch"
"31","Stephan Lukosch","Robert O. Briggs"
"32","Kenric W. Hammond","Ryan Laundry"
"33","Falk Uebernickel","Walter Brenner"
"34","Omar F. El-Gayar","Amit V. Deokar"
"35","Matt Bishop","Kara L. Nance"
"36","David J. Yates","Girish J. Gulati"
"37","Kara L. Nance","Matt Bishop"
"38","Robert O. Briggs","Aaron Read"
"39","Robert O. Briggs","Helmut Krcmar"
"40","Aaron Read","Helmut Krcmar"
"41","J. Alberto Espinosa","Frank Armour"
"42","J. Alberto Espinosa","Wai Fong Boh"
"43","Frank Armour","Wai Fong Boh"
"44","Johan H. Huijsing","Kofi A. A. Makinwa"
"45","Koichi Ishida","Makoto Takamiya"
"46","Koichi Ishida","Takayasu Sakurai"
"47","Makoto Takamiya","Takayasu Sakurai"
"48","Hiroki Ishikuro","Tadahiro Kuroda"
"49","Dennis Sylvester","David Blaauw"
"50","Andrea Mazzanti","Francesco Svelto"
"51","David Blaauw","Dennis Sylvester"
"52","Koichi Ishida","Tsuyoshi Sekitani"
"53","Koichi Ishida","Takao Someya"
"54","Tsuyoshi Sekitani","Makoto Takamiya"
"55","Tsuyoshi Sekitani","Takao Someya"
"56","Tsuyoshi Sekitani","Takayasu Sakurai"
"57","Makoto Takamiya","Takao Someya"
"58","Takao Someya","Takayasu Sakurai"
"59","David Fick","David Blaauw"
"60","David Fick","Dennis Sylvester"
